,tripduration,start station latitude,start station longitude,end station latitude,end station longitude
329,1186,40.720873600000004,-73.98085795,40.73020660529954,-73.99102628231049
330,1703,40.74334935,-74.00681753,40.69512845,-73.99595065
331,170,40.73049393,-73.99572140000001,40.73224119,-74.00026394
332,1686,40.739445,-73.97680600000001,40.75640548,-73.9900262
333,2962,40.72210378668603,-73.99724900722505,40.75660359,-73.9979009
335,2756,40.72210378668603,-73.99724900722505,40.75660359,-73.9979009
336,977,40.69512845,-73.99595065,40.74206539,-74.00443172
337,873,40.76009437,-73.99461843,40.73652889,-74.00618026
338,838,40.71911552,-74.00666661,40.746745000000004,-74.007756
339,831,40.689888,-73.981013,40.74195138,-74.00803013
340,835,40.71939226,-74.00247214,40.7172274,-73.98802084
341,820,40.726280700000004,-73.98978041,40.73912601,-73.97973776
342,3453,40.74334935,-74.00681753,40.71291224,-74.01020234
343,1057,40.68382604,-73.97632328,40.71850211,-73.98329859
344,8962,40.73020660529954,-73.99102628231049,40.71291224,-74.01020234
345,3171,40.73038599,-74.00214988,40.71291224,-74.01020234
346,341,40.76087502,-74.00277668,40.75255434,-73.97282625
347,656,40.68807003,-73.98410637,40.68807003,-73.98410637
348,5402,40.73291553,-74.00711384,40.73291553,-74.00711384
349,5340,40.73291553,-74.00711384,40.73291553,-74.00711384
350,136,40.728846000000004,-74.00859100000001,40.73172428,-74.00674436
351,3317,40.75466591,-73.99138152,40.74311555376486,-73.98215353488922
352,745,40.74290902,-73.97706058,40.76095756,-73.96724467
353,3244,40.73020660529954,-73.99102628231049,40.74311555376486,-73.98215353488922
355,8156,40.73020660529954,-73.99102628231049,40.71291224,-74.01020234
356,638,40.71559509,-73.9870295,40.74317449,-74.00366443
357,1765,40.68807003,-73.98410637,40.6809833854,-73.9500479759
358,1770,40.68807003,-73.98410637,40.6809833854,-73.9500479759
359,837,40.74311555376486,-73.98215353488922,40.73535398,-74.00483091
360,863,40.71406667,-73.99293911,40.72066442,-73.98517977
361,482,40.72621788,-73.98379855,40.76669671,-73.99061728
362,37458,40.750072700000004,-73.99839279,40.703799200000006,-74.00838676
363,1344,40.69512845,-73.99595065,40.720873600000004,-73.98085795
364,647,40.68650065,-73.96563307,40.6809833854,-73.9500479759
365,514,40.72743423,-73.99379025,40.73261787,-73.99158043
366,985,40.72679454,-73.99695094,40.7361967,-74.00859207
367,668,40.73401143,-74.00293877,40.72490985,-74.00154702
368,1411,40.7076449441757,-73.96841526031494,40.70224,-73.982578
369,928,40.73827428,-73.98751968,40.746745000000004,-74.007756
370,1944,40.71754834,-74.01322069,40.70823502,-74.00530063
371,1920,40.72229346,-73.99147535,40.70823502,-74.00530063
372,217,40.74177603,-74.00149746,40.74487634,-73.99529885
374,7515,40.76341379,-73.99667444,40.74475148,-73.99915362
